#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
34        	5         	ok              	3.0900000000e+00	1.5534000000e+03	2.6483712673e+19	1.4407593794e+19	2.3681318633e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	5         	ok              	2.6070000000e+00	1.5440000000e+03	2.2479921756e+19	1.2229536909e+19	2.3681175292e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	2.1990000000e+00	1.5322000000e+03	1.9107727878e+19	1.0395037211e+19	2.3681078018e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.8550000000e+00	1.5195000000e+03	1.6253285250e+19	8.8421827465e+18	2.3681005583e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	1.5650000000e+00	1.5059000000e+03	1.3836147583e+19	7.5272178521e+18	2.3680952654e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	1.3210000000e+00	1.4924000000e+03	1.1784570829e+19	6.4111192372e+18	2.3680909936e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	1.1140000000e+00	1.4779000000e+03	1.0035425380e+19	5.4595446059e+18	2.3680879979e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	9.4010000000e-01	1.4636000000e+03	8.5515896109e+18	4.6523023214e+18	2.3680855703e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	7.9310000000e-01	1.4493000000e+03	7.2855862357e+18	3.9635645424e+18	2.3680836417e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	6.6910000000e-01	1.4332000000e+03	6.2155406458e+18	3.3814308248e+18	2.3680827422e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	5.6450000000e-01	1.4162000000e+03	5.3068151743e+18	2.8870588267e+18	2.3680823367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	4.7630000000e-01	1.3978000000e+03	4.5365966874e+18	2.4680378871e+18	2.3680824451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	4.0180000000e-01	1.3792000000e+03	3.8786209763e+18	2.1100801931e+18	2.3680826196e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	3.3900000000e-01	1.3596000000e+03	3.3195810539e+18	1.8059462453e+18	2.3680830394e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	2.8600000000e-01	1.3395000000e+03	2.8426156393e+18	1.5464632080e+18	2.3680835354e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	2.4130000000e-01	1.3193000000e+03	2.4350544290e+18	1.3247381288e+18	2.3680840139e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	4         	ok              	2.0360000000e-01	1.2990000000e+03	2.0867173304e+18	1.1352327188e+18	2.3680844865e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	4         	ok              	1.7180000000e-01	1.2785000000e+03	1.7890295728e+18	9.7328202806e+17	2.3680849886e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	4         	ok              	1.4490000000e-01	1.2582000000e+03	1.5332532043e+18	8.3413238242e+17	2.3680854464e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	4         	ok              	1.2220000000e-01	1.2380000000e+03	1.3141526730e+18	7.1493546007e+17	2.3680859107e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	4         	ok              	1.0310000000e-01	1.2182000000e+03	1.1267703558e+18	6.1299417418e+17	2.3680863522e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	4         	ok              	8.7020000000e-02	1.1999000000e+03	9.6553807509e+17	5.2527931927e+17	2.3680865503e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	4         	ok              	7.3410000000e-02	1.1830000000e+03	8.2616320812e+17	4.4945555911e+17	2.3680865077e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	4         	ok              	6.1940000000e-02	1.1660000000e+03	7.0724198081e+17	3.8475912423e+17	2.3680865635e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	4         	ok              	5.2250000000e-02	1.1515000000e+03	6.0411227296e+17	3.2865377830e+17	2.3680861550e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	4         	ok              	4.4090000000e-02	1.1385000000e+03	5.1558735229e+17	2.8049384825e+17	2.3680855284e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	4         	ok              	3.7190000000e-02	1.1283000000e+03	4.3883027997e+17	2.3873597479e+17	2.3680844668e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	4         	ok              	3.1380000000e-02	1.1196000000e+03	3.7315119443e+17	2.0300480915e+17	2.3680833214e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	4         	ok              	2.6470000000e-02	1.1121000000e+03	3.1688718700e+17	1.7239567948e+17	2.3680821878e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	4         	ok              	2.2340000000e-02	1.1036000000e+03	2.6950442840e+17	1.4661815626e+17	2.3680813701e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	4         	ok              	1.8840000000e-02	1.0959000000e+03	2.2887810942e+17	1.2451631185e+17	2.3680805912e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	4         	ok              	1.5900000000e-02	1.0875000000e+03	1.9465341971e+17	1.0589711672e+17	2.3680800092e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	4         	ok              	1.3410000000e-02	1.0791000000e+03	1.6544786738e+17	9.0008466436e+16	2.3680795128e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	4         	ok              	1.1320000000e-02	1.0713000000e+03	1.4067901747e+17	7.6533504249e+16	2.3680790567e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	4         	ok              	9.5470000000e-03	1.0643000000e+03	1.1942542214e+17	6.4970938080e+16	2.3680786214e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	4         	ok              	8.0550000000e-03	1.0585000000e+03	1.0131378261e+17	5.5117683842e+16	2.3680782027e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	4         	ok              	6.7950000000e-03	1.0535000000e+03	8.5871431072e+16	4.6716596821e+16	2.3680778296e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	4         	ok              	5.7330000000e-03	1.0494000000e+03	7.2733519201e+16	3.9569189882e+16	2.3680775023e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	4         	ok              	4.8370000000e-03	1.0460000000e+03	6.1565593684e+16	3.3493511339e+16	2.3680772269e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	4         	ok              	4.0810000000e-03	1.0435000000e+03	5.2067624926e+16	2.8326337042e+16	2.3680769946e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	4         	ok              	3.4430000000e-03	1.0415000000e+03	4.4012023966e+16	2.3943852328e+16	2.3680768093e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	4         	ok              	2.9050000000e-03	1.0398000000e+03	3.7195456187e+16	2.0235437597e+16	2.3680766651e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	4         	ok              	2.4510000000e-03	1.0383000000e+03	3.1427801590e+16	1.7097662269e+16	2.3680765536e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	4         	ok              	2.0670000000e-03	1.0363000000e+03	2.6555134728e+16	1.4446786525e+16	2.3680764731e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	4         	ok              	1.7440000000e-03	1.0344000000e+03	2.2446647574e+16	1.2211647111e+16	2.3680764105e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	4         	ok              	1.4720000000e-03	1.0322000000e+03	1.8986174406e+16	1.0329046492e+16	2.3680763641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	4         	ok              	1.2420000000e-03	1.0303000000e+03	1.6049126480e+16	8.7312047550e+15	2.3680763256e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	4         	ok              	1.0470000000e-03	1.0281000000e+03	1.3558286939e+16	7.3761136471e+15	2.3680762964e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	4         	ok              	8.8370000000e-04	1.0262000000e+03	1.1464796182e+16	6.2371921211e+15	2.3680762713e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	4         	ok              	7.4560000000e-04	1.0241000000e+03	9.6929734520e+15	5.2732675918e+15	2.3680762515e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	4         	ok              	6.2900000000e-04	1.0222000000e+03	8.1923454217e+15	4.4568810750e+15	2.3680762336e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	4         	ok              	5.3070000000e-04	1.0200000000e+03	6.9269555384e+15	3.7684711325e+15	2.3680762196e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	4         	ok              	4.4770000000e-04	1.0181000000e+03	5.8545044245e+15	3.1850256477e+15	2.3680762055e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	4         	ok              	3.7770000000e-04	1.0149000000e+03	4.9546982795e+15	2.6955041777e+15	2.3680761999e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	4         	ok              	3.1870000000e-04	1.0121000000e+03	4.1922977297e+15	2.2807354637e+15	2.3680761929e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	4         	ok              	2.6890000000e-04	1.0071000000e+03	3.5547714759e+15	1.9339020920e+15	2.3680761989e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	4         	ok              	2.2680000000e-04	1.0029000000e+03	3.0107791487e+15	1.6379539808e+15	2.3680762008e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	4         	ok              	1.9140000000e-04	9.9710000000e+02	2.5556224813e+15	1.3903351229e+15	2.3680762114e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	4         	ok              	1.6150000000e-04	9.9200000000e+02	2.1674762054e+15	1.1791719276e+15	2.3680762183e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	4         	ok              	1.3620000000e-04	9.8600000000e+02	1.8390505998e+15	1.0004985639e+15	2.3680762294e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	4         	ok              	1.1490000000e-04	9.8070000000e+02	1.5598302584e+15	8.4859433916e+14	2.3680762369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	4         	ok              	9.6960000000e-05	9.7390000000e+02	1.3254755799e+15	7.2109837675e+14	2.3680762506e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	4         	ok              	8.1800000000e-05	9.6780000000e+02	1.1252814964e+15	6.1218680247e+14	2.3680762606e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	4         	ok              	6.9010000000e-05	9.6020000000e+02	9.5684990964e+14	5.2055497654e+14	2.3680762753e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	4         	ok              	5.8220000000e-05	9.5350000000e+02	8.1291474318e+14	4.4224993796e+14	2.3680762859e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
